PATENT_AUTHORITIES,COUNTRY_NAME,OBS_VALUE_sum,OBS_VALUE_mean,OBS_VALUE_std,YEAR_min,YEAR_max,YEAR_count
9P50_3,YUG_F,1.17,0.07,0.13,2017,2020,16
9P50_3,ZWE,2.65,0.17,0.34,2017,2020,16
US50,AND,11.13,0.4,0.69,2017,2020,28
US50,ARE,871.15,31.11,53.2,2017,2020,28
US50,ARG,809.44,28.91,48.11,2017,2020,28
US50,ARM,110.99,3.96,6.91,2017,2020,28
US50,Australia,10914.68,389.81,701.71,2017,2020,28
US50,Austria,9161.23,327.19,591.48,2017,2020,28
US50,BGR,477.3,17.05,30.58,2017,2020,28
US50,BIH,9.73,0.35,0.66,2017,2020,28
US50,BLR,194.9,6.96,12.73,2017,2020,28
US50,BMU,26.5,0.95,1.76,2017,2020,28
US50,Belgium,8794.76,314.1,533.83,2017,2020,28
US50,Brazil,3766.35,134.51,235.22,2017,2020,28
US50,CHL,525.52,18.77,32.42,2017,2020,28
US50,COL,376.14,13.43,24.42,2017,2020,28
US50,CRI,306.49,10.95,18.86,2017,2020,28
US50,CUB,44.99,1.61,2.43,2017,2020,28
US50,CYM,76.3,2.73,4.97,2017,2020,28
US50,CYP,94.66,3.38,5.54,2017,2020,28
US50,Canada,45658.39,1630.66,2837.26,2017,2020,28
US50,China,193037.89,6894.21,12101.87,2017,2020,28
US50,Czech Republic,2072.59,74.02,131.44,2017,2020,28
US50,DJI,2.0,0.07,0.26,2017,2020,28
US50,DZA,10.77,0.38,0.96,2017,2020,28
US50,Denmark,7626.64,272.38,476.13,2017,2020,28
US50,ECU,26.14,0.93,1.93,2017,2020,28
US50,EGY,238.18,8.51,13.59,2017,2020,28
US50,Estonia,275.77,9.85,18.0,2017,2020,28
US50,European Union (27),260213.74,9293.35,16753.43,2017,2020,28
US50,Finland,8570.0,306.07,560.12,2017,2020,28
US50,France,41633.99,1486.93,2675.71,2017,2020,28
US50,GEO,29.28,1.05,1.74,2017,2020,28
US50,GTM,27.5,0.98,1.99,2017,2020,28
US50,Germany,106533.98,3804.79,6944.29,2017,2020,28
US50,Greece,871.88,31.14,56.15,2017,2020,28
US50,HRV,186.96,6.68,12.17,2017,2020,28
US50,Hong Kong,3245.16,115.9,198.45,2017,2020,28
